model,perturbation,norm_ratio,abs_ratio,top20_recall,top20_sign,top20_corr
CondAE,DHX16,0.8281022906303406,0.8283582925796509,0.4,0.95,0.9479464276747538
CondAE,DHX29,0.5261767506599426,0.4532601833343506,0.35,1.0,0.8033003115305579
CondAE,DHX33,0.7868620157241821,0.6572518944740295,0.7,0.95,0.9305479862824685
CondAE,DHX36,0.5800575017929077,0.47670140862464905,0.3,0.95,0.7742554817500538
CondAE,DHX37,0.7457956075668335,0.6081831455230713,0.8,1.0,0.9587781661896674
CondAE,DIMT1,0.8981372714042664,0.8624392151832581,0.85,1.0,0.967703143010763
CondAE,DKC1,0.823646605014801,0.7305698990821838,0.75,1.0,0.9576579339110733
CondAE,DLD,0.8281806111335754,0.7975916862487793,0.6,1.0,0.9270519588496637
CondAE,DNAJA1,0.452487587928772,0.3390016257762909,0.15,0.65,0.8315573486565097
CondAE,DNAJA3,0.8771216869354248,0.7174339294433594,0.55,1.0,0.9575324980876889
CondAE,DNAJC17,0.8790227174758911,0.8770374655723572,0.65,1.0,0.9376858261641879
CondAE,DNAJC19,0.40286120772361755,0.32482704520225525,0.2,0.85,0.714997176765405
CondAE,DNAJC8,0.48385363817214966,0.40117180347442627,0.2,1.0,0.7535620927281916
CondAE,DNM1L,0.500652551651001,0.43033286929130554,0.25,0.9,0.6959694016520748
CondAE,DNMT1,0.7089949250221252,0.6322546601295471,0.6,1.0,0.8754207105833425
CondAE,DNTTIP2,0.8901641964912415,0.8755378127098083,0.65,1.0,0.9608301295754215
CondAE,DOHH,0.5696715116500854,0.4949781596660614,0.3,0.9,0.8193567347501491
CondAE,DOLK,0.5184295773506165,0.42964112758636475,0.1,1.0,0.7964013534089851
CondAE,DPH2,0.5652311444282532,0.476644366979599,0.45,0.95,0.6425944638541818
CondAE,DPH3,0.4530557096004486,0.37402111291885376,0.3,0.9,0.7745397962458279
CondAE,DPH6,0.43247854709625244,0.35961732268333435,0.15,0.95,0.8136191722167727
CondAE,DRAP1,0.46786725521087646,0.38290679454803467,0.25,0.95,0.848144214852003
CondAE,DRG1,0.5179433822631836,0.4321383833885193,0.35,0.95,0.8048134270570779
CondAE,DSTYK,0.5871546864509583,0.48455050587654114,0.45,1.0,0.8634612719058619
CondAE,DTL,0.8575218915939331,0.7683851718902588,0.65,1.0,0.9821803578172249
CondAE,DYNC1I2,0.7051231861114502,0.5914393663406372,0.55,1.0,0.9286058618274868
CondAE,DYNLL1,0.695717990398407,0.6270342469215393,0.7,1.0,0.5250880585734209
CondAE,DYNLL2,0.47643914818763733,0.40429309010505676,0.2,0.9,0.7477457961513353
CondAE,E2F6,0.5463573336601257,0.4680313766002655,0.35,0.85,0.7320184165946324
CondAE,E4F1,0.871805727481842,0.7903719544410706,0.8,1.0,0.9854237929052935
CondAE,EARS2,0.6536836624145508,0.5541056990623474,0.5,1.0,0.7134890207839741
CondAE,EBNA1BP2,0.8830038905143738,0.8396031260490417,0.7,1.0,0.9753776335544775
CondAE,ECD,0.6587356925010681,0.5469872951507568,0.45,1.0,0.8820366764500195
CondAE,EDC4,0.621766984462738,0.5823677182197571,0.3,0.95,0.9040217711385835
CondAE,EFR3A,0.5404874086380005,0.4559077024459839,0.35,1.0,0.8399505694827268
CondAE,EFTUD2,0.8445793986320496,0.8081469535827637,0.75,1.0,0.9412480873929996
CondAE,EHMT2,0.48190781474113464,0.4078369438648224,0.5,1.0,0.6884315293731993
CondAE,EIF1,0.48953837156295776,0.5009295344352722,0.55,0.95,0.5242849559914636
CondAE,EIF1AD,0.5570104122161865,0.4927022159099579,0.35,1.0,0.8677294731306138
CondAE,EIF1AX,0.6609101295471191,0.6017984747886658,0.45,1.0,0.8976469261475641
CondAE,EIF2B1,0.8966869711875916,0.8575605154037476,0.55,1.0,0.9642724548065302
CondAE,EIF2B2,0.8952208161354065,0.8770627975463867,0.65,1.0,0.9755352013416178
CondAE,EIF2B3,0.8940956592559814,0.865276038646698,0.7,1.0,0.9744966275216925
CondAE,EIF2B4,0.8861311078071594,0.8358660936355591,0.65,1.0,0.9654176258043564
CondAE,EIF2B5,0.8928906917572021,0.8643465638160706,0.6,1.0,0.9753017802604238
CondAE,EIF2S1,0.8758366107940674,0.8537024259567261,0.6,1.0,0.9716531453095038
CondAE,EIF2S2,0.8864274621009827,0.8390195369720459,0.7,1.0,0.9775809659671351
CondAE,EIF2S3,0.8852035999298096,0.8587512373924255,0.65,1.0,0.9786604675968736
CondAE,EIF3A,0.8688333630561829,0.8272980451583862,0.8,1.0,0.9778648028090259
CondAE,EIF3B,0.8451030850410461,0.8350268602371216,0.7,1.0,0.9404564810138694
CondAE,EIF3I,0.8325304388999939,0.8239184617996216,0.45,1.0,0.9414557154637158
CondAE,EIF3J,0.7904736995697021,0.6765877604484558,0.75,1.0,0.9730334876019967
CondAE,EIF3L,0.7208307981491089,0.6492826342582703,0.7,1.0,0.9471379011324795
CondAE,EIF4A1,0.7837535738945007,0.6779380440711975,0.6,1.0,0.9568845536910814
CondAE,EIF4A3,0.8868259787559509,0.8508172631263733,0.7,1.0,0.96595217699315
CondAE,EIF4B,0.5273875594139099,0.5899576544761658,0.3,0.85,0.8833993212680629
CondAE,EIF4E,0.8603522181510925,0.7846004366874695,0.75,1.0,0.9406022255764126
CondAE,EIF4G1,0.7336198687553406,0.6480982899665833,0.55,1.0,0.9472716177898997
