model,perturbation,real_delta_norm,pred_delta_norm,norm_ratio,abs_ratio,top20_sign,top20_recall
VAE,ARMC7,2.627733,1.6158279,0.6149133,0.5695716,1.0,0.45
VAE,ARPC4,3.4288683,2.395661,0.698674,0.62825793,1.0,0.55
VAE,ASCC3,2.3997734,1.289369,0.53728783,0.40819368,0.9,0.4
VAE,ASF1B,2.8747344,1.4977016,0.5209878,0.41904187,1.0,0.35
VAE,ATF5,6.4738297,5.263689,0.8130719,0.7476683,1.0,0.65
VAE,ATP11B,4.6379232,3.7615106,0.81103337,0.7310942,1.0,0.55
VAE,ATP2A2,2.514716,1.5980932,0.6354965,0.5081905,1.0,0.65
VAE,ATP5ME,5.500448,4.6045265,0.83711845,0.7270095,1.0,0.8
VAE,ATP5MF,5.153291,4.1151166,0.7985414,0.730697,1.0,0.7
VAE,ATP5PD,7.3272867,6.272654,0.8560678,0.8001217,1.0,0.6
VAE,ATP6AP1,8.162866,7.156357,0.87669665,0.8578402,1.0,0.8
VAE,ATP6AP2,5.96801,5.25868,0.88114464,0.86806923,1.0,0.7
VAE,ATP6V0B,5.774681,4.6863837,0.8115398,0.7673551,1.0,0.65
VAE,ATP6V0C,7.020656,5.8771,0.83711547,0.7861478,1.0,0.4
VAE,ATP6V0D1,2.859844,1.939787,0.6782842,0.5369412,1.0,0.75
VAE,ATP6V1A,8.238124,7.10528,0.8624876,0.8263165,1.0,0.8
VAE,ATP6V1B2,7.6592274,6.47859,0.8458542,0.7695457,1.0,0.6
VAE,ATP6V1F,6.8794518,5.514142,0.801538,0.71567905,1.0,0.75
VAE,ATP6V1G1,4.61524,3.729881,0.8081662,0.75478905,1.0,0.7
VAE,ATP6V1H,4.8886704,3.986482,0.8154532,0.7668075,1.0,0.65
VAE,ATR,4.267317,3.649268,0.85516685,0.79552627,1.0,0.75
VAE,ATRIP,3.8537738,2.824068,0.73280585,0.63049626,1.0,0.65
VAE,AURKA,1.9511616,1.084469,0.5558068,0.5006103,0.95,0.4
VAE,AURKAIP1,3.498087,2.381837,0.680897,0.6086884,0.95,0.55
VAE,BAG6,3.9679675,2.3452241,0.5910391,0.53703356,1.0,0.35
VAE,BANP,2.2733197,0.9652978,0.42462036,0.33247268,1.0,0.3
VAE,BAP1,3.046291,2.1823797,0.7164055,0.6018254,1.0,0.5
VAE,BARD1,2.7033207,1.5024719,0.5557875,0.47016254,0.9,0.3
VAE,BCLAF1,2.8296618,1.4601378,0.5160114,0.41740632,1.0,0.3
VAE,BCR,2.6329682,1.3086987,0.4970431,0.41973707,0.9,0.25
VAE,BCS1L,2.8897448,1.4541626,0.5032149,0.38706985,0.95,0.35
VAE,BET1,3.8069553,2.7306886,0.7172894,0.62863517,1.0,0.55
VAE,BMS1,6.7970095,6.012807,0.8846254,0.8712302,1.0,0.75
VAE,BOD1L1,2.8497188,1.3807684,0.48452795,0.42537802,1.0,0.35
VAE,BORA,2.6423495,1.6034921,0.60684335,0.5062387,1.0,0.6
VAE,BPTF,2.4929304,1.499421,0.6014693,0.53876764,0.85,0.4
VAE,BRCA1,3.7833202,2.8203053,0.74545777,0.61990684,1.0,0.6
VAE,BRCA2,2.0821726,1.4933237,0.7171949,0.6144874,1.0,0.5
VAE,BRD2,2.9809525,1.6882384,0.56634194,0.47173122,0.95,0.45
VAE,BRF1,2.8532863,2.0408692,0.7152697,0.6178138,1.0,0.6
VAE,BRF2,2.2942936,1.131637,0.49323982,0.43062598,0.95,0.2
VAE,BRIP1,2.1333947,1.0023323,0.46982977,0.38948238,0.95,0.2
VAE,BRIX1,7.3494267,6.446846,0.8771903,0.8376681,1.0,0.85
VAE,BTAF1,3.5049536,1.7590187,0.50186646,0.41184887,0.85,0.4
VAE,BTF3,2.1621332,1.5036948,0.6954681,0.60091823,0.95,0.6
VAE,BTF3L4,1.9742976,0.96688503,0.4897362,0.4364535,0.95,0.2
VAE,BUB1,2.5973108,1.7134984,0.6597202,0.54720426,1.0,0.65
VAE,BUB1B,1.6710885,0.87142706,0.52147275,0.41976124,0.95,0.55
VAE,BYSL,8.647164,7.4879827,0.86594665,0.8291978,1.0,0.65
VAE,C12orf45,7.145373,6.2263856,0.87138706,0.8364658,1.0,0.7
VAE,C17orf58,2.3859558,1.3635896,0.5715067,0.4761214,1.0,0.2
VAE,C18orf21,5.998008,4.972877,0.82908815,0.7348005,1.0,0.75
VAE,C19orf25,3.7761388,2.5022786,0.66265535,0.5226547,1.0,0.65
VAE,C19orf53,3.060715,1.787535,0.58402526,0.5041002,1.0,0.35
VAE,C1orf131,7.527991,6.5392895,0.8686633,0.81025094,1.0,0.8
VAE,C7orf26,2.494321,1.6571171,0.664356,0.62790287,0.95,0.4
VAE,C9orf16,1.9522483,0.80565566,0.41268092,0.321043,0.9,0.05
VAE,C9orf78,2.72933,1.4707088,0.5388534,0.4695589,1.0,0.3
VAE,CA5A,2.0239155,0.92508805,0.4570784,0.40286157,1.0,0.15
